Connected to: /dev/ttyUSB0
Trial: 0
Incorrect , 38400 , 1 , 0.0278830528259
Incorrect , 38400 , 200 , 5.13869309425
Incorrect , 38400 , 400 , 10.3503329754
Incorrect , 38400 , 600 , 15.4880621433
Incorrect , 38400 , 800 , 20.6816720963
Incorrect , 38400 , 1000 , 25.7164609432
Trial:  1
Correct , 38400 , 1 , 0.0228929519653
Correct , 38400 , 200 , 5.14444804192
Correct , 38400 , 400 , 10.2784399986
Correct , 38400 , 600 , 15.5032389164
Correct , 38400 , 800 , 20.6120400429
Correct , 38400 , 1000 , 25.8521199226
Incorrect , 38400 , 1 , 0.0259630680084
Incorrect , 38400 , 200 , 5.17665696144
Incorrect , 38400 , 400 , 10.2698228359
Incorrect , 38400 , 600 , 15.5166959763
Incorrect , 38400 , 800 , 20.6993079185
Incorrect , 38400 , 1000 , 25.6788260937
Trial:  2
Correct , 38400 , 1 , 0.0204939842224
Correct , 38400 , 200 , 5.1450138092
Correct , 38400 , 400 , 10.3034391403
Correct , 38400 , 600 , 15.3904790878
Correct , 38400 , 800 , 20.6343889236
Correct , 38400 , 1000 , 25.6438179016
Incorrect , 38400 , 1 , 0.0274479389191
Incorrect , 38400 , 200 , 5.12768387794
Incorrect , 38400 , 400 , 10.3084030151
Incorrect , 38400 , 600 , 15.390004158
Incorrect , 38400 , 800 , 20.6327440739
Incorrect , 38400 , 1000 , 25.8658788204
Trial:  3
Correct , 38400 , 1 , 0.0305819511414
Correct , 38400 , 200 , 5.18801879883
Correct , 38400 , 400 , 10.3609120846
Correct , 38400 , 600 , 15.5161211491
Correct , 38400 , 800 , 20.5145330429
Correct , 38400 , 1000 , 25.9077670574
Incorrect , 38400 , 1 , 0.0248498916626
Incorrect , 38400 , 200 , 5.18964290619
Incorrect , 38400 , 400 , 10.3684279919
Incorrect , 38400 , 600 , 15.4919118881
Incorrect , 38400 , 800 , 20.6857869625
Incorrect , 38400 , 1000 , 25.7673530579
Trial:  4
Correct , 38400 , 1 , 0.0257799625397
Correct , 38400 , 200 , 5.14090704918
Correct , 38400 , 400 , 10.321313858
Correct , 38400 , 600 , 15.5243208408
Correct , 38400 , 800 , 20.5068790913
Correct , 38400 , 1000 , 25.792016983
Incorrect , 38400 , 1 , 0.0269849300385
Incorrect , 38400 , 200 , 5.09569406509
Incorrect , 38400 , 400 , 10.3023819923
Incorrect , 38400 , 600 , 15.4389932156
Incorrect , 38400 , 800 , 20.540913105
Incorrect , 38400 , 1000 , 25.7051849365
Trial:  5
Correct , 38400 , 1 , 0.0248010158539
Correct , 38400 , 200 , 5.11484503746
Correct , 38400 , 400 , 10.3092529774
Correct , 38400 , 600 , 15.495249033
Correct , 38400 , 800 , 20.6430799961
Correct , 38400 , 1000 , 25.8223648071
Incorrect , 38400 , 1 , 0.0295689105988
Incorrect , 38400 , 200 , 5.22046208382
Incorrect , 38400 , 400 , 10.3606090546
Incorrect , 38400 , 600 , 15.3600111008
Incorrect , 38400 , 800 , 20.730864048
Incorrect , 38400 , 1000 , 25.7012960911
Trial:  6
Correct , 38400 , 1 , 0.0256419181824
Correct , 38400 , 200 , 5.1639521122
Correct , 38400 , 400 , 10.3353710175
Correct , 38400 , 600 , 15.3630568981
Correct , 38400 , 800 , 20.6199481487
Correct , 38400 , 1000 , 25.7261610031
Incorrect , 38400 , 1 , 0.0250101089478
Incorrect , 38400 , 200 , 5.12560582161
Incorrect , 38400 , 400 , 10.3187739849
Incorrect , 38400 , 600 , 15.4796500206
Incorrect , 38400 , 800 , 20.600689888
Incorrect , 38400 , 1000 , 25.7653560638
Trial:  7
Correct , 38400 , 1 , 0.0259668827057
Correct , 38400 , 200 , 5.11391806602
Correct , 38400 , 400 , 10.3405210972
Correct , 38400 , 600 , 15.3775889874
Correct , 38400 , 800 , 20.5747969151
Correct , 38400 , 1000 , 25.7047569752
Incorrect , 38400 , 1 , 0.0240111351013
Incorrect , 38400 , 200 , 5.15250515938
Incorrect , 38400 , 400 , 10.3091170788
Incorrect , 38400 , 600 , 15.4010210037
Incorrect , 38400 , 800 , 20.6407370567
Incorrect , 38400 , 1000 , 25.8333880901
Trial:  8
Correct , 38400 , 1 , 0.0249989032745
Correct , 38400 , 200 , 5.12365198135
Correct , 38400 , 400 , 10.3363890648
Correct , 38400 , 600 , 15.3673620224
Correct , 38400 , 800 , 20.6045510769
Correct , 38400 , 1000 , 25.7932319641
Incorrect , 38400 , 1 , 0.0279769897461
Incorrect , 38400 , 200 , 5.15445208549
Incorrect , 38400 , 400 , 10.2756071091
Incorrect , 38400 , 600 , 15.5351071358
Incorrect , 38400 , 800 , 20.7047350407
Incorrect , 38400 , 1000 , 25.7772948742
Trial:  9
Correct , 38400 , 1 , 0.0259411334991
Correct , 38400 , 200 , 5.12946200371
Correct , 38400 , 400 , 10.3556101322
Correct , 38400 , 600 , 15.4694778919
Correct , 38400 , 800 , 20.5354671478
Correct , 38400 , 1000 , 25.699201107
Incorrect , 38400 , 1 , 0.025946855545
Incorrect , 38400 , 200 , 5.11371803284
Incorrect , 38400 , 400 , 10.2743988037
Incorrect , 38400 , 600 , 15.4949588776
Incorrect , 38400 , 800 , 20.5697600842
Incorrect , 38400 , 1000 , 25.6808259487
